"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Запрос автомобиля несуществующего пользователя GET /user/{userId}/cars","0","Запрос автомобиля несуществующего пользователя GET /user/{userId}/cars","API Test Suite","Tue Jun 30 22:16:20 UTC 2026","skipped","Tue Jun 30 22:16:20 UTC 2026","tests.api.cars.CarsApiTest","AllTests-API","tests.api.cars.CarsApiTest","checkNegativeUserCar"
"Удаление автомобиля с несуществующим id DELETE /car/{carId}","0","Удаление автомобиля с несуществующим id DELETE /car/{carId}","API Test Suite","Tue Jun 30 22:16:20 UTC 2026","skipped","Tue Jun 30 22:16:20 UTC 2026","tests.api.cars.CarsApiTest","AllTests-API","tests.api.cars.CarsApiTest","checkNegativeDeleteCar"
"API проверка получения авто конкретного пользователя GET /user/{userId}/cars","0","API проверка получения авто конкретного пользователя GET /user/{userId}/cars","API Test Suite","Tue Jun 30 22:16:20 UTC 2026","skipped","Tue Jun 30 22:16:20 UTC 2026","tests.api.cars.CarsApiTest","AllTests-API","tests.api.cars.CarsApiTest","checkUserCar"
"API проверка создания авто POST /car с невалидным телом","0","API проверка создания авто POST /car с невалидным телом","API Test Suite","Tue Jun 30 22:16:20 UTC 2026","skipped","Tue Jun 30 22:16:20 UTC 2026","tests.api.cars.CarsApiTest","AllTests-API","tests.api.cars.CarsApiTest","checkNegativeCreateCar"
"API проверка обновления авто POST /car с невалидным телом","0","API проверка обновления авто POST /car с невалидным телом","API Test Suite","Tue Jun 30 22:16:20 UTC 2026","skipped","Tue Jun 30 22:16:20 UTC 2026","tests.api.cars.CarsApiTest","AllTests-API","tests.api.cars.CarsApiTest","checkNegativeUpdateCarBrokeBody"
"Изменение автомобиля с несуществующим id GET /car/{carId}","0","Изменение автомобиля с несуществующим id GET /car/{carId}","API Test Suite","Tue Jun 30 22:16:20 UTC 2026","skipped","Tue Jun 30 22:16:20 UTC 2026","tests.api.cars.CarsApiTest","AllTests-API","tests.api.cars.CarsApiTest","checkNegativeUpdateCar"
"API проверка обновления авто POST /car с невалидным телом","0","API проверка обновления авто POST /car с невалидным телом","API Test Suite","Tue Jun 30 22:16:20 UTC 2026","skipped","Tue Jun 30 22:16:20 UTC 2026","tests.api.cars.CarsApiTest","AllTests-API","tests.api.cars.CarsApiTest","checkNegativeUpdateCarBrokeBody"
"","2","setup","API Test Suite","Tue Jun 30 22:16:20 UTC 2026","failed","Tue Jun 30 22:16:20 UTC 2026","tests.api.cars.CarsApiTest","AllTests-API","tests.api.cars.CarsApiTest","setup"
"Авторизация с невалидным Password","474","Авторизация с невалидным Password","API Test Suite","Tue Jun 30 22:16:28 UTC 2026","passed","Tue Jun 30 22:16:29 UTC 2026","tests.api.login.LoginApiTest","AllTests-API","tests.api.login.LoginApiTest","checkingAuthorizationWithInvalidPasswordAPI"
"Авторизация с невалидным Password","386","Авторизация с невалидным Password","API Test Suite","Tue Jun 30 22:16:28 UTC 2026","passed","Tue Jun 30 22:16:28 UTC 2026","tests.api.login.LoginApiTest","AllTests-API","tests.api.login.LoginApiTest","checkingAuthorizationRequestWithAnEmptyRequestBodyAPI"
