"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cars","0","CarsAPI","0","4","API_Cars","0"
"0","Cars","0","CarsAPI","0","13","API Cars","0"
"0","Cars","1","CarsAPI","0","0","","0"
"0","Epic01_Авторизация","0","Авторизация","2","0","Авторизация с невалидным Password","0"
"0","API Tests","0","Users API","0","6","CRUD операции с пользователями","0"
"0","Epic01_Авторизация","0","Проверка получения access_token","1","0","Проверка получения access_token в ответе POST/login","0"
"0","API Tests","0","Users API","0","7","Негативные сценарии Users API","0"
"0","Epic01_Авторизация","0","Авторизация","1","0","Авторизация с невалидным email","0"
"0","Epic01_Авторизация","0","Авторизация пользователя","1","0","Авторизация пользователя с валидными данными (JSON)","0"
"0","API Tests","1","Users API","0","0","","0"
