"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cars","10","Cars","20","0","Создание авто","0"
"0","Cars","10","Cars","14","0","Таблица cars","0"
"0","Epic04_Houses","0","Проверка валидации полей на странице 'Houses/Create new'","14","0","Проверка валидации полей на странице 'Houses/Create new' с получением ошибок при вводе невалидных значений","0"
"0","Epic04_Houses","0","Проверка создания дома с заполнением обязательных полей {floors} и {price} валидными кредами","2","0","Проверка создания дома с заполнением обязательных полей {floors} и {price} валидными кредами и получением успешного кода выполнения операции","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","2","0","Открытия страницы ""Users -> Read user with cars"" со всеми атрибутами","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","2","0","Отображение данных по пользователю без машины","0"
"0","","2","Страница по получению данных по пользователю с невалидным айди","6","0","Отображение данных по пользователю с невалидным айди","0"
"0","Users","2","Страница по получению данных по пользователю с невалидным айди","6","0","Отображение данных по пользователю с невалидным айди","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","2","0","Ввод в инпут айди напрямую и через стрелочки","0"
"0","Cars","8","Cars","20","0","Продажа или покупка авто","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по убыванию наличности","0"
"0","Epic01_Авторизация","0","Защита от инъекций","12","0","Проверка обработки вредоносного SQL-кода в поле ввода пароля","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по возрастанию ID","0"
"0","Users","2","Страница со всеми пользователями","0","0","Проверка обновления таблицы","0"
"0","Epic01_Авторизация","0","User authorization","2","0","Авторизация пользователя с валидными данными 'Email' и 'Password'","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по полу от A-Z","0"
"0","Users","2","Страница со всеми пользователями","0","0","Сортировка пользователей по фамилии от A-Z","0"
"0","Epic01_Авторизация","0","Проверка отображения сообщений об ошибке на форме 'Authorization'","2","0","Проверка отображения сообщений об ошибке при пустых значениях 'Email' и 'Password'","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по имени от A-Z","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Password'","2","0","Проверка валидации поля 'Password' при вводе значений < 3 символов","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Password'","2","0","Проверка валидации поля 'Password' при вводе значений > 8 символов.","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по имени от Z-A","0"
"0","Epic01_Авторизация","0","Проверка аллерта после ввода невалидного 'Email'","2","0","Проверка аллерта после ввода невалидного 'Email' валидного 'Password' и нажатия 'GO'","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","2","0","Отображение данных по пользователю c одной машиной","0"
"0","Epic01_Авторизация","0","Проверка недоступности выполнений действий для неавторизованного пользователя","2","0","Проверка недоступности выполнений действий для неавторизованного пользователя (создать пользователя)","0"
"0","Epic01_Авторизация","0","Проверка авторизации с пустым значением","2","0","Проверка авторизации с пустым значением 'Password' и валидным 'Email'","0"
"0","Epic01_Авторизация","0","Проверка валидации страницы 'Authorization'","2","0","Проверка валидации страницы 'Authorization' на наличие всех элементов.","0"
"0","","0","Страница со всеми пользователями","2","0","Сортировка пользователей по убыванию возраста","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по убыванию возраста","0"
"0","Epic01_Авторизация","0","Проверка авторизации с пустым значением","2","0","Проверка авторизации с пустым значением 'Email' и валидным 'Password'","0"
"0","Epic02_CRUD операции","0","Полный цикл CRUD","2","0","Полный цикл создания, операций и удаления сущностей","0"
"0","Users","0","Страница со всеми пользователями","2","0","Открытие страницы со всеми пользователями","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по убыванию ID","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по возрастанию возраста","0"
"0","Users","2","Страница по получению данных по пользователям с машинами","0","0","Ховер-эффекты и тултипы на странице","0"
"0","Epic04_Houses","0","Проверка создания дома","2","0","Проверка создания дома с заполнением всех полей валидными кредами (включая необязательные","0"
"0","Users","1","Страница со всеми пользователями","1","0","Проверка ховер эффекта кнопок","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по возрастанию наличности","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Email'","2","0","Проверка валидации поля 'Email' значением не являющимся адресом электронной почты.","0"
"0","Epic01_Авторизация","0","Проверка доступности выполнений действий для авторизованного пользователя","2","0","Проверка доступности выполнений действий для авторизованного пользователя (создать пользователя)","0"
"0","Users","2","Страница со всеми пользователями","0","0","Сортировка пользователей по фамилии от Z-A","0"
"0","Users","0","Страница со всеми пользователями","2","0","Сортировка пользователей по полу от Z-A","0"
"0","Epic01_Авторизация","0","Проверка аллерта после ввода невалидного 'Email'","2","0","Проверка аллерта после ввода валидного 'Email' невалидного 'Password' и нажатия 'GO'","0"
