"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cars","1","CarsAPI","3","0","API_Cars","0"
"0","Cars","2","CarsAPI","11","0","API Cars","0"
"0","API Tests","0","Users API","4","2","CRUD операции с пользователями","0"
"0","API Tests","0","Users API","0","7","Негативные сценарии Users API","0"
"0","Epic04_Houses","0","Создание дома","1","0","Создание дома с невалидным токеном","0"
"0","Epic01_Авторизация","0","Авторизация","1","0","Авторизация с невалидным email","0"
"0","Epic01_Авторизация","0","Авторизация пользователя","1","0","Авторизация пользователя с валидными данными (JSON)","0"
"1","API Tests","0","Users API","0","0","","0"
"0","Epic01_Авторизация","0","Проверка получения access_token","1","0","Проверка получения access_token в ответе POST/login","0"
"0","Epic01_Авторизация","0","Авторизация","1","0","Авторизация с невалидным Password","0"
"0","Epic01_Авторизация","0","Авторизация","1","0","Авторизация с пустым телом запроса","0"
"0","Epic04_Houses","0","Создание дома","1","0","Создание дома с валидными данными POST/house","0"
