"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корректной сортировки первых 30 значений атрибута Mark таблицы Cars Я-А","44998","Проверка корректной сортировки первых 30 значений атрибута Mark таблицы Cars Я-А","AllTestSuite","Sun Jul 05 14:33:34 UTC 2026","failed","Sun Jul 05 14:34:19 UTC 2026","tests.ui.cars.CarsTest","AllTests-Chrome","tests.ui.cars.CarsTest","checkSortMarkZA"
"","5264","Проверка обработки ошибок при пополнении баланса","AllTestSuite","Sun Jul 05 14:59:11 UTC 2026","passed","Sun Jul 05 14:59:17 UTC 2026","tests.ui.users.UsersAddMoneyTest","AllTests-Chrome","tests.ui.users.UsersAddMoneyTest","testAddMoneyInvalid"
"Авторизация с невалидным email","11","Авторизация с невалидным email","AllTestSuite","Sun Jul 05 14:24:32 UTC 2026","broken","Sun Jul 05 14:24:32 UTC 2026","tests.api.login.LoginApiTest","AllTests-Chrome","tests.api.login.LoginApiTest","checkingAuthorizationWithInvalidEmailAPI"
"API проверка создания авто POST /car с невалидным телом","1","API проверка создания авто POST /car с невалидным телом","AllTestSuite","Sun Jul 05 14:24:12 UTC 2026","skipped","Sun Jul 05 14:24:12 UTC 2026","tests.api.cars.CarsApiTest","AllTests-Chrome","tests.api.cars.CarsApiTest","checkNegativeCreateCar"
"Проверка аллерта после ввода валидного 'Email' невалидного 'Password' и нажатия 'GO'","2378","Проверка аллерта после ввода валидного 'Email' невалидного 'Password' и нажатия 'GO'","AllTestSuite","Sun Jul 05 14:42:56 UTC 2026","passed","Sun Jul 05 14:42:58 UTC 2026","tests.ui.login.LoginTest","AllTests-Chrome","tests.ui.login.LoginTest","checkingTheAlertAfterEnteringAValidEmailAndAnInvalidPasswordAndPressingGo"
"Проверка валидации полей на странице 'Houses/Create new' с получением ошибок при вводе невалидных значений","7486","Проверка валидации полей на странице 'Houses/Create new' с получением ошибок при вводе невалидных значений","AllTestSuite","Sun Jul 05 14:42:02 UTC 2026","passed","Sun Jul 05 14:42:09 UTC 2026","tests.ui.houses.HousesTest","AllTests-Chrome","tests.ui.houses.HousesTest","checkingTheValidationOfFieldsOnTheHousesCreateNewPageAndReceivingErrorsWhenEnteringInvalidValues"
"Получение списка всех пользователей через GET /users","2579","Проверка получения списка пользователей через GET /users","AllTestSuite","Sun Jul 05 14:24:15 UTC 2026","passed","Sun Jul 05 14:24:18 UTC 2026","tests.api.users.UsersApiTest","AllTests-Chrome","tests.api.users.UsersApiTest","testGetAllUsers"
"Проверка сортировки пользователей по возрастанию ID","16782","Проверка сортировки пользователей по возрастанию ID","AllTestSuite","Sun Jul 05 14:50:38 UTC 2026","passed","Sun Jul 05 14:50:55 UTC 2026","tests.ui.users.UsersReadAllTest","AllTests-Chrome","tests.ui.users.UsersReadAllTest","checkSortByIDIncrease"
"Проверка валидации полей на странице 'Houses/Create new' с получением ошибок при вводе невалидных значений","7481","Проверка валидации полей на странице 'Houses/Create new' с получением ошибок при вводе невалидных значений","AllTestSuite","Sun Jul 05 14:42:09 UTC 2026","passed","Sun Jul 05 14:42:17 UTC 2026","tests.ui.houses.HousesTest","AllTests-Chrome","tests.ui.houses.HousesTest","checkingTheValidationOfFieldsOnTheHousesCreateNewPageAndReceivingErrorsWhenEnteringInvalidValues"
"Проверка корректной работы радиокнопки Buy на странице Cars -> Buy or Sell","6575","Проверка корректной работы радиокнопки Buy на странице Cars -> Buy or Sell","AllTestSuite","Sun Jul 05 14:29:02 UTC 2026","passed","Sun Jul 05 14:29:08 UTC 2026","tests.ui.cars.CarsTest","AllTests-Chrome","tests.ui.cars.CarsTest","testRadioButtonBuy"
