"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"API проверка создания авто POST /car с невалидным телом","258","API проверка создания авто POST /car с невалидным телом","AllTestSuite","Thu Jul 09 14:24:53 UTC 2026","passed","Thu Jul 09 14:24:53 UTC 2026","tests.api.cars.CarsApiTest","AllTests-Chrome","tests.api.cars.CarsApiTest","checkNegativeCreateCar"
"","6132","Проверка обработки невалидных данных при создании пользователя","AllTestSuite","Thu Jul 09 16:14:03 UTC 2026","failed","Thu Jul 09 16:14:10 UTC 2026","tests.ui.users.CreateUserTest","AllTests-Chrome","tests.ui.users.CreateUserTest","testInvalidUserData"
"Проверка создания автомобиля с валидными данными со страницы Cars -> Create new","6294","Проверка создания автомобиля с валидными данными со страницы Cars -> Create new","AllTestSuite","Thu Jul 09 14:32:12 UTC 2026","passed","Thu Jul 09 14:32:18 UTC 2026","tests.ui.cars.CarsTest","AllTests-Chrome","tests.ui.cars.CarsTest","testCreateNewCar"
"Проверка ввода невалидных значений в поля idUser и idCar на странице Cars -> Buy or Sell","22419","Проверка ввода невалидных значений в поля idUser и idCar на странице Cars -> Buy or Sell","AllTestSuite","Thu Jul 09 15:12:51 UTC 2026","passed","Thu Jul 09 15:13:13 UTC 2026","tests.ui.cars.CarsTest","AllTests-Chrome","tests.ui.cars.CarsTest","testInputIdUserError"
"Проверка создания автомобиля с невалидными данными со страницы Cars -> Create new","6260","Проверка создания автомобиля с невалидными данными со страницы Cars -> Create new","AllTestSuite","Thu Jul 09 14:39:52 UTC 2026","passed","Thu Jul 09 14:39:58 UTC 2026","tests.ui.cars.CarsTest","AllTests-Chrome","tests.ui.cars.CarsTest","testErrorCreateCar"
"Проверка сортировки пользователей по возрастанию наличности","34134","Проверка сортировки пользователей по возрастанию наличности","AllTestSuite","Thu Jul 09 15:45:39 UTC 2026","passed","Thu Jul 09 15:46:13 UTC 2026","tests.ui.users.UsersReadAllTest","AllTests-Chrome","tests.ui.users.UsersReadAllTest","checkSortByMoneyIncrease"
"Создание пользователя с валидными данными через POST /user","2907","Проверка создания пользователя через POST /user с валидными данными","AllTestSuite","Thu Jul 09 14:26:03 UTC 2026","passed","Thu Jul 09 14:26:06 UTC 2026","tests.api.users.UsersApiTest","AllTests-Chrome","tests.api.users.UsersApiTest","testCreateUserWithValidData"
"Проверка отображения сообщений об ошибке при пустых значениях 'Email' и 'Password'","2021","Проверка отображения сообщений об ошибке при пустых значениях 'Email' и 'Password'","AllTestSuite","Thu Jul 09 15:27:33 UTC 2026","passed","Thu Jul 09 15:27:36 UTC 2026","tests.ui.login.LoginTest","AllTests-Chrome","tests.ui.login.LoginTest","checkingTheDisplayOfErrorMessagesOnTheAuthorizationPage"
"Проверка получения access_token в ответе POST/login","353","Проверка получения access_token в ответе POST/login","AllTestSuite","Thu Jul 09 14:27:16 UTC 2026","passed","Thu Jul 09 14:27:16 UTC 2026","tests.api.login.LoginApiTest","AllTests-Chrome","tests.api.login.LoginApiTest","checkingWhetherAnAccessTokenInTheLoginResponseAPI"
"Авторизация пользователя с валидными данными (JSON) тестирование API","348","Авторизация пользователя с валидными данными (JSON) POST/login","AllTestSuite","Thu Jul 09 14:27:16 UTC 2026","passed","Thu Jul 09 14:27:16 UTC 2026","tests.api.login.LoginApiTest","AllTests-Chrome","tests.api.login.LoginApiTest","checkingApiUserAuthorizationWithValidDataAPI"
