"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания автомобиля с валидными данными со страницы Cars -> Create new","6108","Проверка создания автомобиля с валидными данными со страницы Cars -> Create new","CrossBrowserTestSuite","Tue Jun 16 19:14:28 UTC 2026","passed","Tue Jun 16 19:14:35 UTC 2026","ui.tests.CarsTest","AllTests-Firefox","ui.tests.CarsTest","testCreateNewCar"
"Проверка валидации поля 'Password' при вводе значений < 3 символов","2243","Проверка валидации поля 'Password' при вводе значений < 3 символов","CrossBrowserTestSuite","Tue Jun 16 19:11:07 UTC 2026","passed","Tue Jun 16 19:11:09 UTC 2026","ui.tests.LoginTest","AllTests-Chrome","ui.tests.LoginTest","checkValidationForPasswordFieldWithValueLessThanThree"
"Проверка создания автомобиля с невалидными данными со страницы Cars -> Create new","6298","Проверка создания автомобиля с невалидными данными со страницы Cars -> Create new","CrossBrowserTestSuite","Tue Jun 16 19:12:03 UTC 2026","passed","Tue Jun 16 19:12:10 UTC 2026","ui.tests.CarsTest","AllTests-Chrome","ui.tests.CarsTest","testErrorCreateCar"
"Проверка устойчивости формы авторизации к SQL-инъекциям через поле 'Password'","2066","Проверка того, что ввод SQL-пейлоада в поле пароля не ломает БД и выдает стандартный алерт","CrossBrowserTestSuite","Tue Jun 16 19:10:09 UTC 2026","passed","Tue Jun 16 19:10:11 UTC 2026","ui.tests.LoginTest","AllTests-Chrome","ui.tests.LoginTest","checkingPasswordSqlInjectionProtectionSoft"
"Проверка устойчивости формы авторизации к SQL-инъекциям через поле 'Password'","2161","Проверка того, что ввод SQL-пейлоада в поле пароля не ломает БД и выдает стандартный алерт","CrossBrowserTestSuite","Tue Jun 16 19:12:39 UTC 2026","passed","Tue Jun 16 19:12:41 UTC 2026","ui.tests.LoginTest","AllTests-Firefox","ui.tests.LoginTest","checkingPasswordSqlInjectionProtectionSoft"
"Проверка создания автомобиля с невалидными данными со страницы Cars -> Create new","6183","Проверка создания автомобиля с невалидными данными со страницы Cars -> Create new","CrossBrowserTestSuite","Tue Jun 16 19:15:21 UTC 2026","passed","Tue Jun 16 19:15:27 UTC 2026","ui.tests.CarsTest","AllTests-Firefox","ui.tests.CarsTest","testErrorCreateCar"
"Проверка устойчивости формы авторизации к SQL-инъекциям через поле 'Password'","2107","Проверка того, что ввод SQL-пейлоада в поле пароля не ломает БД и выдает стандартный алерт","CrossBrowserTestSuite","Tue Jun 16 19:13:03 UTC 2026","passed","Tue Jun 16 19:13:05 UTC 2026","ui.tests.LoginTest","AllTests-Firefox","ui.tests.LoginTest","checkingPasswordSqlInjectionProtectionSoft"
"Проверка устойчивости формы авторизации к SQL-инъекциям через поле 'Password'","2083","Проверка того, что ввод SQL-пейлоада в поле пароля не ломает БД и выдает стандартный алерт","CrossBrowserTestSuite","Tue Jun 16 19:10:11 UTC 2026","passed","Tue Jun 16 19:10:14 UTC 2026","ui.tests.LoginTest","AllTests-Chrome","ui.tests.LoginTest","checkingPasswordSqlInjectionProtectionSoft"
"Проверка аллерта после ввода валидного 'Email' невалидного 'Password' и нажатия 'GO'","2385","Проверка аллерта после ввода валидного 'Email' невалидного 'Password' и нажатия 'GO'","CrossBrowserTestSuite","Tue Jun 16 19:13:08 UTC 2026","passed","Tue Jun 16 19:13:10 UTC 2026","ui.tests.LoginTest","AllTests-Firefox","ui.tests.LoginTest","checkingTheAlertAfterEnteringAValidEmailAndAnInvalidPasswordAndPressingGo"
"Проверка создания автомобиля с невалидными данными со страницы Cars -> Create new","6376","Проверка создания автомобиля с невалидными данными со страницы Cars -> Create new","CrossBrowserTestSuite","Tue Jun 16 19:11:43 UTC 2026","passed","Tue Jun 16 19:11:50 UTC 2026","ui.tests.CarsTest","AllTests-Chrome","ui.tests.CarsTest","testErrorCreateCar"
