"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cars","0","Cars","0","15","Создание авто","0"
"0","Cars","0","Cars","0","12","Таблица cars","0"
"0","Epic02_CRUD операции","0","Полный цикл CRUD","0","1","Полный цикл создания, операций и удаления сущностей","0"
"0","Cars","2","CarsAPI","11","0","API Cars","0"
"2","Users","0","","0","0","","0"
"0","Cars","0","Cars","0","14","Продажа или покупка авто","0"
"1","Users","0","Пополнение баланса","0","7","","0"
"1","Users","0","Создание пользователя","0","12","","0"
"0","Users","0","Страница со всеми пользователями","0","1","Проверка ховер эффекта кнопок","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Password'","0","1","Проверка валидации поля 'Password' при вводе значений > 8 символов.","0"
"0","Epic01_Авторизация","0","Авторизация","1","0","Авторизация с невалидным email","0"
"0","Epic01_Авторизация","0","Проверка аллерта после ввода невалидного 'Email'","0","1","Проверка аллерта после ввода невалидного 'Email' валидного 'Password' и нажатия 'GO'","0"
"0","Epic01_Авторизация","0","Проверка авторизации с пустым значением","0","1","Проверка авторизации с пустым значением 'Email' и валидным 'Password'","0"
"2","","0","","0","0","","0"
"0","Epic01_Авторизация","0","Защита от инъекций","0","6","Проверка обработки вредоносного SQL-кода в поле ввода пароля","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Password'","0","1","Проверка валидации поля 'Password' при вводе значений < 3 символов","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","0","1","Ввод в инпут айди напрямую и через стрелочки","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по убыванию наличности","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","0","1","Открытия страницы ""Users -> Read user with cars"" со всеми атрибутами","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по фамилии от A-Z","0"
"1","Epic02_CRUD операции","0","Полный цикл CRUD","0","0","","0"
"0","API Tests","2","Users API","5","0","Негативные сценарии Users API","0"
"0","","0","Страница по получению данных по пользователю с невалидным айди","0","4","Отображение данных по пользователю с невалидным айди","0"
"0","Users","0","Страница по получению данных по пользователю с невалидным айди","0","4","Отображение данных по пользователю с невалидным айди","0"
"0","Epic04_Houses","0","Проверка валидации полей на странице 'Houses/Create new'","0","7","Проверка валидации полей на странице 'Houses/Create new' с получением ошибок при вводе невалидных значений","0"
"0","Users","0","Создание пользователя","0","4","Создание пользователя с валидными данными","0"
